lang,ko,en,ja
profile_ui_image_upload_modal_drag_to_here_or_click,이곳에 이미지를 드래그하거나 클릭하세요,Drag an image here or click,ここに画像をドラッグ、またはクリックしてください
profile_ui_image_upload_modal_zoom_is_available_by_mouse_wheel,마우스 휠로 줌 가능,Zoom is available by mouse wheel,マウスホイールでズームすることができます
profile_ui_image_upload_modal_zoom_is_available_by_pinch,핀치로 줌 가능,Zoom is available by pinch,ピンチズームができます
profile_ui_update_plate_button,클릭해서 플레이트 꾸미기,Click to Customize Plate,クリックしてプレートをカスタマイズ
profile_ui_share_button,공유하기,Share,共有
profile_ui_plate_modal_title,플레이트 꾸미기,Customize Plate,プレートカスタマイズ
profile_ui_plate_modal_confirm_button,확인,Confirm,確認
profile_ui_export_button,이미지로 내보내기,Export as Image,画像のエクスポート
profile_ui_export_modal_title,이미지로 내보내기,Export as Image,画像のエクスポート
profile_ui_export_modal_checklist_title,필요한 정보들,Required Information,必要な情報
profile_ui_export_modal_checklist_nickname,이름,Nickname,名前
profile_ui_export_modal_checklist_playtime,접속 시간대,Playtime,プレイ時間
profile_ui_export_modal_checklist_used_weapons,사용 무기,Used Weapons,使う武器
profile_ui_export_modal_checklist_friend_code,친구 코드,Friend Code,フレンドコード
profile_ui_export_modal_checklist_additional_information,하고 싶은 말,Additional Information,追加情報
profile_ui_export_modal_checklist_profile_image,프로필 이미지,Profile Image,プロフィール画像
profile_ui_export_modal_download_button_rendering_wait,렌더링 중,Rendering,レンダリング中
profile_ui_export_modal_download_button,다운로드,Download,ダウンロード
profile_ui_share_to_x_text,#Splatfile {{name}}의 스플래툰 프로필,{{name}}'s Splatoon Profile on #Splatfile,#Splatfile {{name}}のプロフィール
profile_ui_share_desc,스플래툰 프로필을 확인해보세요!,Check out my Splatoon profile!,スプラトゥーンのプロフィールを確認してください！
profile_ui_share_copied_url,URL이 복사되었습니다!,URL has been copied!,URLがコピーされました！
header_ui_my_profile,내 프로필,My Profile,自分のプロフィール
header_ui_login,로그인,Login,ログイン
header_ui_logout,로그아웃,Logout,ログアウト
header_ui_user_search_placeholder,유저 검색,User Search,ユーザー検索
header_ui_language_setting,언어 설정,Language,言語
preview_playtime_title,접속 시간대,Playtime,プレイ時間
preview_nickname,이름,Nickname,名前
preview_playtime_weekday,주중,Weekday,平日
preview_playtime_weekend,주말,Weekend,週末
preview_used_weapons_title,사용 무기,Used Weapons,使う武器
preview_friend_code,친구 코드,Friend Code,フレンドコード
err_refresh_please,에러가 발생했습니다. 페이지를 새로고침 해주세요.,An error has occurred. Please refresh the page.,エラーが発生しました。ページをリフレッシュしてください。
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
